scenario_id,scenario_type,w_corpus_adequacy_score,w_normalization_stability_score,w_template_predictability_score,w_out_of_sample_performance_score,w_adversarial_robustness_score,raw_confidence,capped_confidence
rand_390,random_weights,0.337864,0.156777,0.044577,0.184059,0.276723,81.967189,81.967189
rand_391,random_weights,0.218909,0.177851,0.088252,0.162695,0.352294,78.234963,78.234963
rand_392,random_weights,0.212637,0.110109,0.278114,0.101431,0.297709,67.752825,67.752825
rand_393,random_weights,0.372414,0.391776,0.010000,0.125950,0.099860,90.248590,84.990000
rand_394,random_weights,0.065073,0.411569,0.071928,0.038802,0.412628,84.079536,84.079536
rand_395,random_weights,0.143706,0.214020,0.345247,0.244189,0.052838,59.648837,59.648837
rand_396,random_weights,0.271601,0.228184,0.044709,0.320080,0.135426,77.570046,77.570046
rand_397,random_weights,0.279970,0.137234,0.041689,0.270432,0.270675,78.025064,78.025064
rand_398,random_weights,0.053651,0.174326,0.162287,0.310491,0.299246,66.090887,66.090887
rand_399,random_weights,0.195051,0.220708,0.148195,0.233431,0.202615,72.690412,72.690412
rand_400,random_weights,0.374629,0.249406,0.016061,0.235616,0.124289,84.165419,84.165419
