entry_id,canonical_line_id,artifact_id,sequence_surface,quantity,signs_raw,signs_canonical,groups_raw,sign_count,group_count,source_count,provenance_tags
569,CLINE_0569,HT 135,MI TU,,MI TU,MI TU,MI TU,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
570,CLINE_0570,HT 135,NA QIF NE[,,NA QIF NE[,NA QIF NE[,NA QIF NE[,3,3,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
571,CLINE_0571,HT 135,NE MI NA,,NE MI NA,NE MI NA,NE MI NA,3,3,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
572,CLINE_0572,HT 135A,AB06 AB21F AB24,,AB06 AB21F AB24,AB06 AB21F AB24,AB06 AB21F AB24,3,3,1,http://sigla.phis.me/document/HT%20135a/index-word.html
573,CLINE_0573,HT 135A,AB24 AB73 AB06,,AB24 AB73 AB06,AB24 AB73 AB06,AB24 AB73 AB06,3,3,1,http://sigla.phis.me/document/HT%20135a/index-word.html
574,CLINE_0574,HT 135A,AB73,,AB73,AB73,AB73,1,1,1,http://sigla.phis.me/document/HT%20135a/index-word.html
575,CLINE_0575,HT 135A,AB73 AB69,,AB73 AB69,AB73 AB69,AB73 AB69,2,2,1,http://sigla.phis.me/document/HT%20135a/index-word.html
576,CLINE_0576,HT 135A,AB73 AB77,,AB73 AB77,AB73 AB77,AB73 AB77,2,2,1,http://sigla.phis.me/document/HT%20135a/index-word.html
577,CLINE_0577,HT 135B,[?] AB34? AB59 AB24,,[?] AB34? AB59 AB24,[?] AB34? AB59 AB24,[?] AB34? AB59 AB24,4,4,1,http://sigla.phis.me/document/HT%20135b/index-word.html
578,CLINE_0578,HT 136,]OVISF,,]OVISF,]OVISF,]OVISF,1,1,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
579,CLINE_0579,HT 136A,[?] [?],,[?] [?],[?] [?],[?] [?],2,2,1,http://sigla.phis.me/document/HT%20136a/index-word.html
580,CLINE_0580,HT 137,AB66,,AB66,AB66,AB66,1,1,1,http://sigla.phis.me/document/HT%20137/index-word.html
581,CLINE_0581,HT 137,OLE MI,,OLE MI,OLE MI,OLE MI,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
582,CLINE_0582,HT 139,AB77 AB76,,AB77 AB76,AB77 AB76,AB77 AB76,2,2,1,http://sigla.phis.me/document/HT%20139/index-word.html
583,CLINE_0583,HT 139,OLE,,OLE,OLE,OLE,1,1,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
584,CLINE_0584,HT 139,PU MA KU[,,PU MA KU[,PU MA KU[,PU MA KU[,3,3,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
585,CLINE_0585,HT 139,[?] AB50 AB80 AB81,,[?] AB50 AB80 AB81,[?] AB50 AB80 AB81,[?] AB50 AB80 AB81,4,4,1,http://sigla.phis.me/document/HT%20139/index-word.html
586,CLINE_0586,HT 139,]KA RA2[,,]KA RA2[,]KA RA2[,]KA RA2[,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
587,CLINE_0587,HT 14,A PU2 NA DU,,A PU2 NA DU,A PU2 NA DU,A PU2 NA DU,4,4,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
588,CLINE_0588,HT 14,AB08 AB29 AB06 AB51,,AB08 AB29 AB06 AB51,AB08 AB29 AB06 AB51,AB08 AB29 AB06 AB51,4,4,1,http://sigla.phis.me/document/HT%2014/index-word.html
589,CLINE_0589,HT 14,AB50 AB131A,,AB50 AB131A,AB50 AB131A,AB50 AB131A,2,2,1,http://sigla.phis.me/document/HT%2014/index-word.html
590,CLINE_0590,HT 14,GRA,,GRA,GRA,GRA,1,1,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
591,CLINE_0591,HT 14,PU VINA,,PU VINA,PU VINA,PU VINA,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
592,CLINE_0592,HT 14,TE GRA,,TE GRA,TE GRA,TE GRA,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
593,CLINE_0593,HT 140,AB10 AB34 AB41,,AB10 AB34 AB41,AB10 AB34 AB41,AB10 AB34 AB41,3,3,2,http://sigla.phis.me/document/HT%20140/index-word.html
594,CLINE_0594,HT 140,AB46 AB07,,AB46 AB07,AB46 AB07,AB46 AB07,2,2,1,http://sigla.phis.me/document/HT%20140/index-word.html
595,CLINE_0595,HT 140,AB77 AB03,,AB77 AB03,AB77 AB03,AB77 AB03,2,2,1,http://sigla.phis.me/document/HT%20140/index-word.html
596,CLINE_0596,HT 140,AB77 AB80,,AB77 AB80,AB77 AB80,AB77 AB80,2,2,1,http://sigla.phis.me/document/HT%20140/index-word.html
597,CLINE_0597,HT 140,AB86 AB41 AB30,,AB86 AB41 AB30,AB86 AB41 AB30,AB86 AB41 AB30,3,3,1,http://sigla.phis.me/document/HT%20140/index-word.html
598,CLINE_0598,HT 140,JE DI,,JE DI,JE DI,JE DI,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
599,CLINE_0599,HT 140,KA PA,,KA PA,KA PA,KA PA,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
600,CLINE_0600,HT 140,OLE KI,,OLE KI,OLE KI,OLE KI,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
601,CLINE_0601,HT 140,OLE U,,OLE U,OLE U,OLE U,2,2,3,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
602,CLINE_0602,HT 140,SI NI,,SI NI,SI NI,SI NI,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
603,CLINE_0603,HT 140,U SI,,U SI,U SI,U SI,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
604,CLINE_0604,HT 140,U SI SI NI,,U SI SI NI,U SI SI NI,U SI SI NI,4,4,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
605,CLINE_0605,HT 140,[?] AB118 AB77,,[?] AB118 AB77,[?] AB118 AB77,[?] AB118 AB77,3,3,1,http://sigla.phis.me/document/HT%20140/index-word.html
606,CLINE_0606,HT 140,]OLE U,,]OLE U,]OLE U,]OLE U,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
607,CLINE_0607,HT 141,A RI,,A RI,A RI,A RI,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
608,CLINE_0608,HT 141,AB26 AB07,,AB26 AB07,AB26 AB07,AB26 AB07,2,2,1,http://sigla.phis.me/document/HT%20141/index-word.html
609,CLINE_0609,HT 141,[?] AB08 AB53,,[?] AB08 AB53,[?] AB08 AB53,[?] AB08 AB53,3,3,1,http://sigla.phis.me/document/HT%20141/index-word.html
610,CLINE_0610,HT 141,]RU DI,,]RU DI,]RU DI,]RU DI,2,2,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
611,CLINE_0611,HT 144,AB61,,AB61,AB61,AB61,1,1,1,http://sigla.phis.me/document/HT%20144/index-word.html
612,CLINE_0612,HT 146,AB53 A305,,AB53 A305,AB53 A305,AB53 A305,2,2,1,http://sigla.phis.me/document/HT%20146/index-word.html
613,CLINE_0613,HT 146,AB53 AB77 AB59,,AB53 AB77 AB59,AB53 AB77 AB59,AB53 AB77 AB59,3,3,1,http://sigla.phis.me/document/HT%20146/index-word.html
614,CLINE_0614,HT 146,AB78,,AB78,AB78,AB78,1,1,1,http://sigla.phis.me/document/HT%20146/index-word.html
615,CLINE_0615,HT 146,RI KA TA,,RI KA TA,RI KA TA,RI KA TA,3,3,1,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html
