inscription_id,source_corpus,provenance_source_url,site_find_place,region,object_type,support_material,classification,formula_class,inscription_length,line_count,sign_count,word_count,sign_inventory_used,estimated_date_period,find_context,libation_formula_candidate,accounting_candidate,ideogram_presence,numeral_presence,damage_unreadability_level,confidence_provenance_notes
KN ZB 4,local_merged_sigla_younger_internal,http://sigla.phis.me/document/KN%20Zb%204/index-word.html,KN,crete_central,inscription_or_vessel,clay_or_object_unknown,ritual_or_display_possible,short_mark_or_label,5,3,5,5,AB41 AB57 AB65 [?],Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,1,0,0,0,0.2000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
KN ZB 40,local_merged_sigla_younger_internal,http://sigla.phis.me/document/KN%20Zb%2040/index-word.html,KN,crete_central,inscription_or_vessel,clay_or_object_unknown,ritual_or_display_possible,unclassified,6,2,6,6,AB03 AB06 AB08 AB10 AB67,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,1,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
KN ZB 5,local_merged_sigla_younger_internal,http://sigla.phis.me/document/KN%20Zb%205/index-word.html,KN,crete_central,inscription_or_vessel,clay_or_object_unknown,ritual_or_display_possible,unclassified,5,1,5,5,AB08 AB37 AB41 AB53 AB69,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,1,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
KN ZC 6,local_merged_sigla_younger_internal,http://sigla.phis.me/document/KN%20Zc%206/index-word.html,KN,crete_central,inscription_or_vessel,clay_or_object_unknown,ritual_or_display_possible,unclassified,23,4,23,23,AB01 AB03 AB06 AB07 AB08 AB10 AB28 AB30 AB34 AB37 AB53 AB55 AB57 AB65 AB67 AB79 AB81 [?],Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,1,0,0,0,0.0435,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
KN ZC 7,local_merged_sigla_younger_internal,http://sigla.phis.me/document/KN%20Zc%207/index-word.html,KN,crete_central,inscription_or_vessel,clay_or_object_unknown,ritual_or_display_possible,unclassified,20,4,20,20,AB06 AB08 AB24 AB27 AB31 AB37 AB39 AB40 AB51 AB55 AB57 AB60 AB74 AB77 AB79 [?],Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,1,0,0,0,0.0500,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
KN ZE 16,local_merged_sigla_younger_internal,http://sigla.phis.me/document/KN%20Ze%2016/index-word.html,KN,crete_central,inscription_or_vessel,clay_or_object_unknown,ritual_or_display_possible,short_mark_or_label,2,1,2,2,AB08 AB39,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,1,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
KN ZF 13,local_merged_sigla_younger_internal,http://sigla.phis.me/document/KN%20Zf%2013/index-word.html,KN,crete_central,inscription_or_vessel,clay_or_object_unknown,ritual_or_display_possible,a_series_sequence,19,1,19,19,A301 AB03 AB04 AB07 AB08 AB09 AB23 AB24 AB27 AB39 AB41 AB44 AB53 AB57 AB59 AB81,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,1,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
MA 1,local_merged_sigla_younger_internal,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html,MA,aegean_islands,unclassified,clay_or_object_unknown,unknown,unclassified,10,3,10,10,A DE DU I MA MI NU QE WI X,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
MA 10,local_merged_sigla_younger_internal,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html,MA,aegean_islands,unclassified,clay_or_object_unknown,unknown,short_mark_or_label,17,8,17,17,*404VAS *405VAS *412VAS *413VAS ?][ A DU E F PI SU TE TI WA,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
MA 10A,local_merged_sigla_younger_internal,http://sigla.phis.me/document/MA%2010a/index-word.html,MA,aegean_islands,unclassified,clay_or_object_unknown,unknown,short_mark_or_label,1,1,1,1,AB26,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
MA 10B,local_merged_sigla_younger_internal,http://sigla.phis.me/document/MA%2010b/index-word.html,MA,aegean_islands,unclassified,clay_or_object_unknown,unknown,unclassified,4,1,4,4,AB04 AB39 AB51 AB54,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
MA 1A,local_merged_sigla_younger_internal,http://sigla.phis.me/document/MA%201a/index-word.html,MA,aegean_islands,unclassified,clay_or_object_unknown,unknown,unclassified,7,2,7,7,AB28 AB40 AB45 AB51 AB55 AB73 AB78,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
MA 1B,local_merged_sigla_younger_internal,http://sigla.phis.me/document/MA%201b/index-word.html,MA,aegean_islands,unclassified,clay_or_object_unknown,unknown,short_mark_or_label,6,2,6,6,AB08 AB45 AB55 AB73 AB78 AB80,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
MA 1C,local_merged_sigla_younger_internal,http://sigla.phis.me/document/MA%201c/index-word.html,MA,aegean_islands,unclassified,clay_or_object_unknown,unknown,short_mark_or_label,1,1,1,1,AB37,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
MA 2,local_merged_sigla_younger_internal,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html,MA,aegean_islands,unclassified,clay_or_object_unknown,unknown,short_mark_or_label,13,5,13,13,JA KU MA NA RA RE TI U ]DU ]JA,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
