canonical_line_id,observation_id
CLINE_0697,OBS_000944
CLINE_0698,OBS_000937
CLINE_0699,OBS_000936
CLINE_0700,OBS_000938
CLINE_0701,OBS_000930
CLINE_0702,OBS_000947
CLINE_0703,OBS_000948
CLINE_0704,OBS_000949
CLINE_0705,OBS_000946
CLINE_0706,OBS_000951
CLINE_0707,OBS_000950
CLINE_0708,OBS_000952
CLINE_0709,OBS_000962
CLINE_0710,OBS_000953
CLINE_0711,OBS_000954
CLINE_0712,OBS_000959
CLINE_0713,OBS_000955
CLINE_0713,OBS_000956
CLINE_0713,OBS_000957
CLINE_0714,OBS_000958
CLINE_0715,OBS_000960
CLINE_0716,OBS_000961
CLINE_0717,OBS_000964
CLINE_0718,OBS_000965
CLINE_0719,OBS_000963
CLINE_0720,OBS_000970
CLINE_0721,OBS_000966
CLINE_0721,OBS_000967
CLINE_0722,OBS_000972
CLINE_0723,OBS_000974
CLINE_0724,OBS_000976
CLINE_0724,OBS_000979
CLINE_0725,OBS_000971
CLINE_0726,OBS_000968
CLINE_0727,OBS_000975
CLINE_0727,OBS_000978
CLINE_0728,OBS_000977
CLINE_0729,OBS_000973
CLINE_0730,OBS_000969
CLINE_0731,OBS_000980
CLINE_0731,OBS_000983
CLINE_0732,OBS_000984
CLINE_0733,OBS_000982
CLINE_0734,OBS_000981
CLINE_0735,OBS_000988
CLINE_0736,OBS_000987
CLINE_0737,OBS_000985
CLINE_0738,OBS_000986
CLINE_0739,OBS_000991
CLINE_0740,OBS_000990
CLINE_0741,OBS_000989
CLINE_0741,OBS_000992
CLINE_0742,OBS_000998
CLINE_0743,OBS_000993
CLINE_0744,OBS_000999
CLINE_0745,OBS_001001
CLINE_0746,OBS_000995
CLINE_0747,OBS_001000
CLINE_0748,OBS_000996
CLINE_0749,OBS_000994
CLINE_0750,OBS_000997
CLINE_0751,OBS_001002
CLINE_0752,OBS_001005
CLINE_0753,OBS_001003
CLINE_0754,OBS_001004
CLINE_0755,OBS_001006
CLINE_0756,OBS_001009
CLINE_0757,OBS_001008
CLINE_0758,OBS_001007
CLINE_0759,OBS_001017
CLINE_0760,OBS_001013
CLINE_0761,OBS_001016
CLINE_0762,OBS_001011
CLINE_0763,OBS_001018
CLINE_0764,OBS_001021
CLINE_0765,OBS_001019
CLINE_0766,OBS_001010
CLINE_0766,OBS_001015
CLINE_0767,OBS_001012
CLINE_0768,OBS_001020
CLINE_0769,OBS_001014
CLINE_0770,OBS_001023
CLINE_0771,OBS_001028
CLINE_0772,OBS_001022
CLINE_0773,OBS_001026
CLINE_0774,OBS_001025
CLINE_0775,OBS_001024
CLINE_0776,OBS_001027
CLINE_0777,OBS_001029
CLINE_0778,OBS_001032
CLINE_0779,OBS_001030
CLINE_0780,OBS_001031
CLINE_0781,OBS_001046
CLINE_0782,OBS_001035
CLINE_0783,OBS_001049
CLINE_0784,OBS_001040
CLINE_0784,OBS_001053
CLINE_0784,OBS_001055
CLINE_0785,OBS_001045
CLINE_0785,OBS_001051
CLINE_0786,OBS_001033
CLINE_0787,OBS_001048
CLINE_0788,OBS_001034
CLINE_0788,OBS_001058
CLINE_0789,OBS_001041
CLINE_0789,OBS_001047
CLINE_0789,OBS_001050
CLINE_0789,OBS_001059
CLINE_0790,OBS_001037
CLINE_0791,OBS_001038
CLINE_0792,OBS_001036
CLINE_0793,OBS_001039
CLINE_0794,OBS_001054
CLINE_0795,OBS_001042
CLINE_0795,OBS_001052
CLINE_0796,OBS_001043
CLINE_0796,OBS_001056
CLINE_0796,OBS_001057
CLINE_0796,OBS_001060
CLINE_0797,OBS_001044
CLINE_0798,OBS_001061
CLINE_0799,OBS_001065
CLINE_0800,OBS_001062
CLINE_0801,OBS_001066
CLINE_0802,OBS_001064
CLINE_0803,OBS_001063
CLINE_0804,OBS_001067
CLINE_0805,OBS_001068
CLINE_0806,OBS_001069
CLINE_0807,OBS_001072
CLINE_0808,OBS_001070
CLINE_0809,OBS_001071
CLINE_0810,OBS_001077
CLINE_0811,OBS_001083
CLINE_0812,OBS_001080
CLINE_0813,OBS_001081
CLINE_0814,OBS_001084
CLINE_0815,OBS_001079
CLINE_0816,OBS_001082
CLINE_0817,OBS_001085
CLINE_0818,OBS_001078
CLINE_0819,OBS_001074
CLINE_0820,OBS_001073
CLINE_0821,OBS_001076
CLINE_0822,OBS_001075
CLINE_0823,OBS_001094
CLINE_0824,OBS_001095
CLINE_0825,OBS_001097
CLINE_0826,OBS_001098
CLINE_0827,OBS_001099
CLINE_0828,OBS_001096
CLINE_0829,OBS_001093
CLINE_0830,OBS_001092
CLINE_0831,OBS_001100
CLINE_0832,OBS_001086
CLINE_0832,OBS_001091
CLINE_0833,OBS_001088
CLINE_0834,OBS_001087
CLINE_0835,OBS_001090
CLINE_0836,OBS_001089
CLINE_0837,OBS_001114
CLINE_0838,OBS_001113
CLINE_0839,OBS_001115
CLINE_0840,OBS_001104
CLINE_0840,OBS_001110
CLINE_0841,OBS_001102
CLINE_0841,OBS_001108
CLINE_0842,OBS_001109
CLINE_0843,OBS_001105
CLINE_0843,OBS_001111
CLINE_0844,OBS_001106
CLINE_0845,OBS_001107
CLINE_0846,OBS_001101
CLINE_0847,OBS_001103
CLINE_0847,OBS_001112
CLINE_0848,OBS_001124
CLINE_0849,OBS_001118
CLINE_0850,OBS_001123
CLINE_0851,OBS_001116
CLINE_0852,OBS_001119
CLINE_0853,OBS_001120
CLINE_0854,OBS_001133
CLINE_0855,OBS_001127
CLINE_0856,OBS_001130
CLINE_0857,OBS_001126
CLINE_0858,OBS_001128
CLINE_0859,OBS_001132
CLINE_0860,OBS_001131
CLINE_0861,OBS_001129
CLINE_0862,OBS_001122
CLINE_0863,OBS_001121
CLINE_0864,OBS_001117
