cluster_id,sequence_id,sequence,line_frequency,sequence_length,artifacts,artifact_count
CL_239,SEQ_106,VIR[,3,1,"HT 68,HT 84,KH WC 2004",3
CL_240,SEQ_1060,AB51 AB56 AB06,1,3,HT 115B,1
CL_241,SEQ_1061,AB51 AB58 AB30,1,3,HT 108,1
CL_051,SEQ_1062,AB51 AB60 AB27,1,3,KN ZC 7,1
CL_242,SEQ_1063,AB51 AB79 AB54,1,3,HT 36,1
CL_012,SEQ_1064,AB53 AB26 AB80,1,3,HT 118,1
CL_012,SEQ_1065,AB53 AB58 AB80,1,3,HT 81,1
CL_243,SEQ_1066,AB53 AB59 AB46,1,3,KH 6,1
CL_244,SEQ_1067,AB53 AB73 AB41,1,3,HT 119,1
CL_245,SEQ_1068,AB53 AB77 AB59,1,3,HT 146,1
CL_093,SEQ_1069,AB54 AB61 AB73,1,3,HT WC 3006A,1
CL_246,SEQ_107,*401VAS RA,3,2,"KH 31,KH 91,MI 2",3
CL_247,SEQ_1070,AB55 AB09 [?],1,3,KN WB 33B,1
CL_248,SEQ_1071,AB55 AB51 A331,1,3,HT 40,1
CL_052,SEQ_1072,AB56 AB30 AB40,1,3,SY ZA 4,1
CL_249,SEQ_1073,AB57 AB01 AB58,1,3,KH 74,1
CL_250,SEQ_1074,AB57 AB05 AB57,1,3,ZA 4A,1
CL_005,SEQ_1075,AB57 AB27 AB73,1,3,HT 87,1
CL_251,SEQ_1076,AB57 AB31 AB23,1,3,ZA 15A,1
CL_094,SEQ_1077,AB57 AB41 AB38,1,3,KE ZB 4,1
CL_053,SEQ_1078,AB57 AB81 AB37,1,3,KN 1A,1
CL_054,SEQ_1079,AB58 AB29 AB188,1,3,HT 8B,1
CL_252,SEQ_108,*401VAS RU,3,2,"KH 12,KH 85,KH 91",3
CL_253,SEQ_1080,AB58 AB56 AB60,1,3,HT 31,1
CL_254,SEQ_1081,AB58 AB65 AB59,1,3,KN 22A,1
CL_001,SEQ_1082,AB59 AB06 AB04,1,3,ZA 10A,1
CL_095,SEQ_1083,AB59 AB30 AB77,1,3,HT WC 3005A,1
CL_020,SEQ_1084,AB59 AB53 AB06,1,3,HT 10B,1
CL_096,SEQ_1085,AB59 AB80 AB39,1,3,ZA 21A,1
CL_255,SEQ_1086,AB60 A314 AB60,1,3,HT WC 3006B,1
CL_001,SEQ_1087,AB60 AB04 [?],1,3,ZA 19,1
CL_097,SEQ_1088,AB60 AB06 AB27,1,3,HT 47B,1
CL_256,SEQ_1089,AB60 AB37 AB09,1,3,HT 6B,1
CL_017,SEQ_109,A SE,3,2,"HT 132,HT 81,HT 93",3
CL_007,SEQ_1090,AB60 AB53 AB45,1,3,HT 113,1
CL_041,SEQ_1091,AB60 AB80 AB41,1,3,ZA 11A,1
CL_088,SEQ_1092,AB61 AB37 [?],1,3,HT 93A,1
CL_098,SEQ_1093,AB67 A310 AB27,1,3,HT 37,1
CL_006,SEQ_1094,AB67 AB01 AB59,1,3,HT 40,1
CL_099,SEQ_1095,AB67 AB07 AB30,1,3,HT 93A,1
CL_016,SEQ_1096,AB67 AB27 AB17,1,3,ZA 1A,1
CL_016,SEQ_1097,AB67 AB27 AB66,1,3,HT 85B,1
CL_257,SEQ_1098,AB67 AB30 AB80,1,3,ZA 5A,1
CL_055,SEQ_1099,AB67 AB31 AB24,1,3,KH 6,1
CL_258,SEQ_110,AB01 AB13,3,2,"HT 120,HT 86A,HT 95A",3
CL_016,SEQ_1100,AB67 AB53 AB41,1,3,TY 3B,1
CL_259,SEQ_1101,AB67 AB59 AB28,1,3,HT 123A,1
CL_260,SEQ_1102,AB67 AB67 AB06,1,3,HT 88,1
CL_100,SEQ_1103,AB69 AB03 AB53,1,3,HT 79 83,1
CL_261,SEQ_1104,AB69 AB13 AB09,1,3,ZA 4A,1
CL_262,SEQ_1105,AB69 AB26 AB66,1,3,HT 129,1
CL_054,SEQ_1106,AB69 AB58 AB29,1,3,HT 49A,1
CL_101,SEQ_1107,AB69 AB65 AB80,1,3,HT 117A,1
CL_263,SEQ_1108,AB69 AB78 AB55,1,3,HT 25A,1
CL_042,SEQ_1109,AB73 AB01 AB30,1,3,HT 41A,1
CL_007,SEQ_111,AB03 AB45,3,2,"HT 122A,HT 9A,HT 9B",3
CL_042,SEQ_1110,AB73 AB01 AB38,1,3,ZA 15A,1
CL_264,SEQ_1111,AB73 AB17 AB09,1,3,ZA 15A,1
CL_102,SEQ_1112,AB73 AB55 AB73,1,3,HT 47A,1
CL_001,SEQ_1113,AB73 [?] [?],1,3,ZA 20,1
CL_265,SEQ_1114,AB76 AB02 AB27,1,3,ZA 10B,1
CL_266,SEQ_1115,AB77 A314 AB41,1,3,PH WC 37A,1
CL_056,SEQ_1116,AB77 AB02 AB06,1,3,HT 11A,1
CL_056,SEQ_1117,AB77 AB02 AB56,1,3,HT 31,1
CL_005,SEQ_1118,AB77 AB03 AB78,1,3,HT 6A,1
CL_010,SEQ_1119,AB77 AB11 AB26,1,3,HT 115A,1
CL_267,SEQ_112,AB08 AB09,3,2,"HT 132,HT 81,HT 93A",3
CL_032,SEQ_1120,AB77 AB27 AB02,1,3,HT WC 3003,1
CL_032,SEQ_1121,AB77 AB28 AB02,1,3,ZA 8,1
CL_032,SEQ_1122,AB77 AB28 AB77,1,3,KN WC 3,1
CL_010,SEQ_1123,AB77 AB31 AB26,1,3,HT 10B,1
CL_268,SEQ_1124,AB77 AB46 [?],1,3,KN 22A,1
CL_021,SEQ_1125,AB77 AB55 AB37,1,3,HT 97A,1
CL_001,SEQ_1126,AB77 AB59 AB27,1,3,KH 41,1
