cluster_id,sequence_id,sequence,line_frequency,sequence_length,artifacts,artifact_count
CL_518,SEQ_1567,KA U DE TA,1,4,HT 13,1
CL_519,SEQ_1568,KA U ZU NI,1,4,HT 26,1
CL_520,SEQ_1569,KI DE MA NA,1,4,HT 31,1
CL_521,SEQ_157,AB57,2,1,"KN ZB 35,PH 1A",2
CL_522,SEQ_1570,KI KI RA JA,1,4,HT 85,1
CL_523,SEQ_1571,KO SA I TI,1,4,HT 117,1
CL_524,SEQ_1572,KU KU DA RA,1,4,HT 117,1
CL_525,SEQ_1573,KU PA3 RI JA,1,4,HT 24,1
CL_526,SEQ_1574,KU TU KO RE,1,4,ZA 8,1
CL_143,SEQ_1575,MA KA I SE,1,4,ZA 8,1
CL_527,SEQ_1576,MA KI DE TE,1,4,ZA 10,1
CL_528,SEQ_1577,MA TA RI TA,1,4,KH 90,1
CL_529,SEQ_1578,MI KI SE NA,1,4,HT 26,1
CL_530,SEQ_1579,O RA2 DI NE,1,4,HT 6,1
CL_531,SEQ_158,AB57?,2,1,"HT 44B,ZA 32",2
CL_002,SEQ_1580,OVISM SI AU RE,1,4,PH 31,1
CL_002,SEQ_1581,OVISM SI AU[ RE,1,4,PH 31,1
CL_532,SEQ_1582,PA DA SU TI,1,4,HT 104,1
CL_533,SEQ_1583,PA SA RI JA,1,4,HT 24,1
CL_534,SEQ_1584,PA3 KA RA TI,1,4,HT 8,1
CL_535,SEQ_1585,PI RU E JU,1,4,PH 2,1
CL_536,SEQ_1586,PI TA KA SE,1,4,HT 21,1
CL_537,SEQ_1587,PI TA KE SI,1,4,HT 87,1
CL_538,SEQ_1588,PI TI NE A,1,4,ARKH 4,1
CL_539,SEQ_1589,PU NI KA SO,1,4,ZA 14,1
CL_540,SEQ_159,AB61,2,1,"HT 144,KH WC 2035",2
CL_118,SEQ_1590,QA NU MA QIF,1,4,KH 88,1
CL_541,SEQ_1591,QA TI DA TE,1,4,HT 12,1
CL_030,SEQ_1592,QA [?] PU RE,1,4,HT 12,1
CL_542,SEQ_1593,QE DE MI NU,1,4,MA 1,1
CL_543,SEQ_1594,QE TI RA DU,1,4,HT 58,1
CL_544,SEQ_1595,QIF RI TU QA,1,4,HT 23,1
CL_545,SEQ_1596,RA DE ME TE,1,4,HT 94,1
CL_546,SEQ_1597,RA NA TU SU,1,4,PK 1,1
CL_547,SEQ_1598,RA O DI KI,1,4,PH 2,1
CL_033,SEQ_1599,RI RU MA HT,1,4,PH 31,1
CL_548,SEQ_160,OVISF[,2,1,"HT 112,HT 126",2
CL_033,SEQ_1600,RI RU MA TI,1,4,PH 31,1
CL_144,SEQ_1601,RU MA TA SE,1,4,ZA 20,1
CL_145,SEQ_1602,SA MI DA E,1,4,ZA 15,1
CL_145,SEQ_1603,SA MI DA E[,1,4,ZA 5,1
CL_549,SEQ_1604,SI DU KU MI,1,4,HT 110,1
CL_550,SEQ_1605,SI JA DA SU[,1,4,KH 74,1
CL_551,SEQ_1606,SI TE DI DI,1,4,ZA 26,1
CL_552,SEQ_1607,SO KE MA SE,1,4,ZA 15,1
CL_553,SEQ_1608,TE ME DA I[,1,4,THE TABLET 5,1
CL_554,SEQ_1609,TI SA PU KO,1,4,HT 31,1
CL_555,SEQ_161,OVISM,2,1,"PH 31,ZA 22",2
CL_556,SEQ_1610,TU ME PA JA,1,4,HT 154A,1
CL_557,SEQ_1611,TU PA DI DA,1,4,HT 123 124,1
CL_558,SEQ_1612,TU QIF RI NA,1,4,HT 129,1
CL_559,SEQ_1613,U SI SI NI,1,4,HT 140,1
CL_560,SEQ_1614,U TA I SE,1,4,KH 7,1
CL_561,SEQ_1615,WA TU MA RE,1,4,HT 128,1
CL_562,SEQ_1616,WI SA SA NE,1,4,KH 5,1
CL_563,SEQ_1617,X I DU WI,1,4,MA 1,1
CL_564,SEQ_1618,ZU SE DE QIF,1,4,ARKH 2,1
CL_565,SEQ_1619,[?] A358 AB30 [?],1,4,PH 16A,1
CL_566,SEQ_162,TELA,2,1,"KH WC 2124,ZA ZB 34",2
CL_129,SEQ_1620,[?] AB03 AB01 AB30,1,4,KH 79 89,1
CL_567,SEQ_1621,[?] AB34? AB59 AB24,1,4,HT 135B,1
CL_568,SEQ_1622,[?] AB50 AB80 AB81,1,4,HT 139,1
CL_569,SEQ_1623,[?] AB51 AB53 AB04,1,4,HT 4,1
CL_570,SEQ_1624,[?] AB76 AB37 AB65,1,4,HT 108,1
CL_571,SEQ_1625,]A SE RE ZA[,1,4,KH 13,1
CL_572,SEQ_1626,]DI RA DI NA,1,4,PH 1,1
CL_009,SEQ_1627,]DU RE ZA SE,1,4,ZA 20,1
CL_573,SEQ_1628,]I MI SA RA,1,4,HT 27,1
CL_574,SEQ_1629,]JA MA U TI,1,4,MA 2,1
CL_575,SEQ_163,]FIC[,2,1,"KH 27,KH 65",2
CL_576,SEQ_1630,]JA RU MA NE[,1,4,PH 7,1
CL_577,SEQ_1631,]JA SI DA RA,1,4,PH 7,1
CL_011,SEQ_1632,]KA MI JA RU,1,4,KH 36,1
CL_139,SEQ_1633,]KI RE TA NA,1,4,HT 2,1
CL_578,SEQ_1634,]KO A DU WA,1,4,TY 3,1
CL_579,SEQ_1635,]KU MI NA QE[,1,4,HT 54,1
CL_580,SEQ_1636,]MI KI SA NE[,1,4,ARKH 1,1
CL_581,SEQ_1637,]PA TA A RA,1,4,KH 79 89,1
CL_018,SEQ_1638,]RU PA RA NE,1,4,HT 115,1
CL_582,SEQ_1639,]SI TU RA2 RE,1,4,HT 3,1
CL_583,SEQ_164,]GRA[,2,1,"HT 154A,HT 50",2
CL_584,SEQ_1640,]TA PI SI DI,1,4,HT 4,1
CL_585,SEQ_1641,]U DI RI KI[,1,4,PH 7,1
CL_586,SEQ_1642,]U TA I SI,1,4,KH 16,1
CL_587,SEQ_1643,3RD UNIT WINE TO EACH,1,5,HT 89,1
CL_133,SEQ_1644,A DU KU MI NA,1,5,ZA 10,1
CL_588,SEQ_1645,A DU NI TA NA,1,5,ARKH 5,1
CL_589,SEQ_1646,A KI PI E TE,1,5,KH 10,1
CL_590,SEQ_1647,A SI DA TO I,1,5,ARKH 2,1
CL_591,SEQ_1648,A SI SU PO A,1,5,KH 9,1
CL_592,SEQ_1649,A309B AB53? [?] AB54 AB65?,1,5,TY 2,1
CL_593,SEQ_165,]OVISF,2,1,"HT 136,ZA 26",2
CL_594,SEQ_1650,A309B [?] AB34? AB50 AB39,1,5,TY 2,1
CL_595,SEQ_1651,A309C AB53? AB01 [?] AB65?,1,5,TY 2,1
CL_135,SEQ_1652,A333 AB07 AB06 AB58 AB77,1,5,HT WC 3010,1
CL_072,SEQ_1653,AB01 AB81 AB09 AB24 AB37,1,5,HT 104,1
CL_003,SEQ_1654,AB06 AB21F AB24 AB73 AB06,1,5,HT 115A,1
CL_596,SEQ_1655,AB08 AB01 AB67 AB41 AB77,1,5,KH 5,1
CL_597,SEQ_1656,AB08 AB05 A349 AB05 AB28,1,5,KH 11,1
CL_598,SEQ_1657,AB08 AB41 AB01 AB05 AB28,1,5,ARKH 2,1
CL_599,SEQ_1658,AB08 AB41 AB58 AB11 AB08,1,5,KH 9,1
CL_600,SEQ_1659,AB08 AB51 AB30 AB59 AB06,1,5,ARKH 5,1
CL_601,SEQ_166,]VINA,2,1,"ARKH 3,HT 98",2
CL_003,SEQ_1660,AB08 AB51 AB81 AB73 AB06,1,5,ZA 10A,1
CL_027,SEQ_1661,AB08 AB60 [?] AB08 AB69,1,5,HT 87,1
CL_602,SEQ_1662,AB08 AB67 AB39 AB38 AB04,1,5,KH 10,1
CL_603,SEQ_1663,AB08 AB69 AB53 AB41 AB37,1,5,KN ZB 5,1
CL_604,SEQ_1664,AB08 AB77 AB55 AB74 AB37,1,5,KN ZC 7,1
CL_605,SEQ_1665,AB08 AB81 AB65 AB03 AB118,1,5,PA 1,1
CL_606,SEQ_1666,AB16 AB81 AB27 AB06 A306,1,5,HT WC 3017A,1
CL_607,SEQ_1667,AB28 AB37 AB37 AB81 AB30,1,5,HT 96A,1
CL_608,SEQ_1668,AB28 AB79 AB53 AB30 AB59,1,5,PH 6,1
CL_609,SEQ_1669,AB28 AB81 AB65 AB37 AB28B,1,5,ZA 6B,1
CL_035,SEQ_167,A RI,2,2,"HT 141,PH 6",2
CL_610,SEQ_1670,AB37 AB80 AB26 AB40 AB04,1,5,PYR 1,1
CL_611,SEQ_1671,AB39 AB37 AB24 AB08 [?],1,5,ARKH 4A,1
CL_612,SEQ_1672,AB40 AB60 AB27 AB73 AB04,1,5,ZA 9,1
CL_613,SEQ_1673,AB41 AB26 AB80 AB53 AB66,1,5,HT 90,1
CL_614,SEQ_1674,AB41 AB51 AB34 AB81 AB73,1,5,HT 110A,1
CL_615,SEQ_1675,AB45 AB58 [?] AB47 AB04,1,5,ARKH 4A,1
CL_616,SEQ_1676,AB53 AB59 AB80 AB55 AB40,1,5,HT 115A,1
CL_072,SEQ_1677,AB56 AB01 AB81 AB09 AB24,1,5,HT 103,1
CL_617,SEQ_1678,AB57 AB31 AB31 AB60 AB13,1,5,PS ZA 2,1
CL_618,SEQ_1679,AB59 AB06 AB28 A301 AB37,1,5,PS ZA 2,1
CL_008,SEQ_168,A RU,2,2,"HT 49,HT 9",2
CL_619,SEQ_1680,AB59 AB28 AB55 AB80 AB03,1,5,ZA 8,1
CL_620,SEQ_1681,AB60 AB67 AB59 AB06 AB41,1,5,KH 60,1
CL_621,SEQ_1682,AB60 [?] AB45 AB13 AB04,1,5,HT 94B,1
CL_622,SEQ_1683,AB61 AB59 AB30 AB17 AB09,1,5,ZA 5A,1
CL_623,SEQ_1684,AB67 AB45 AB80 A323 AB06,1,5,HT 31,1
CL_624,SEQ_1685,AB69 AB26 AB56 AB09 AB13,1,5,HT 128A,1
CL_625,SEQ_1686,AB69 AB73 AB37 AB17 AB09,1,5,ZA 14,1
CL_626,SEQ_1687,AB73 AB26 AB59 AB60 AB27,1,5,HT 117A,1
CL_627,SEQ_1688,AB80 AB27 AB53 AB73 AB45,1,5,PH 30,1
CL_628,SEQ_1689,B RU JA TA DI,1,5,HT WC 3008,1
CL_005,SEQ_169,AB03 AB09,2,2,"HT 18,HT 27B",2
CL_629,SEQ_1690,CA 10TH UNIT TO EACH,1,5,HT 89,1
CL_630,SEQ_1691,CF DU RI TE HT,1,5,PH 31,1
CL_074,SEQ_1692,DA KU SE NE TI,1,5,HT 104,1
CL_631,SEQ_1693,I KU JU TI IB,1,5,ZA 6,1
CL_632,SEQ_1694,I PA SA JA QA,1,5,KH 10,1
CL_633,SEQ_1695,I ZU RI NI TA,1,5,PH 6,1
CL_634,SEQ_1696,MA SI DU PA I,1,5,HT 43,1
CL_635,SEQ_1697,MA TI ZA I TE,1,5,PK 1,1
CL_636,SEQ_1698,MI DA NI PA JA,1,5,HT 41,1
CL_637,SEQ_1699,MI RU TA RA RE,1,5,HT 117,1
CL_007,SEQ_170,AB03 AB60,2,2,"HT 128A,PH 3A",2
CL_115,SEQ_1700,NA QIF NE MI NA,1,5,HT 115,1
CL_638,SEQ_1701,O TA NI ZA SE,1,5,ZA 5,1
CL_639,SEQ_1702,QE RA2 U KI RO,1,5,HT 1,1
CL_640,SEQ_1703,RI TA MA NU WI,1,5,HT 115,1
CL_641,SEQ_1704,SI RU MA RI TA2,1,5,HT 90,1
CL_642,SEQ_1705,TA I NU MA PA,1,5,ZA 8,1
CL_643,SEQ_1706,TI MA RU WI TE,1,5,PS ZA 2,1
CL_644,SEQ_1707,TI NU JA NU WI,1,5,HT 115,1
CL_645,SEQ_1708,TU MI TI ZA SE,1,5,ZA 14,1
CL_646,SEQ_1709,TU RU NU SE ME,1,5,HT 128,1
CL_647,SEQ_171,AB04 A301,2,2,"HT 8A,HT 98A",2
CL_648,SEQ_1710,WI RA RE MI TE,1,5,ZA 9,1
CL_649,SEQ_1711,WI TE RO I TI,1,5,HT 25,1
CL_650,SEQ_1712,[?] AB69 AB09 AB58 AB67,1,5,HT ZB 158A,1
CL_651,SEQ_1713,]MA RE RI MI DE,1,5,PH 30,1
CL_652,SEQ_1714,]RA KI TA NA SI[,1,5,KH 60,1
CL_653,SEQ_1715,]RA RI U DE ZA,1,5,HT 122,1
CL_141,SEQ_1716,AB06 AB80 AB80 AB37 AB37 A319,1,6,HT ZD 155,1
CL_654,SEQ_1717,AB07 AB07 AB70 AB60 AB13 AB66,1,6,ZA 11A,1
CL_655,SEQ_1718,AB07 AB45 AB26 AB78 AB76 AB10,1,6,HT 95A,1
CL_656,SEQ_1719,AB08 AB06 AB55 AB41 AB57 AB09,1,6,HT ZB 159,1
CL_657,SEQ_172,AB04 AB53,2,2,"HT 91,PH 31B",2
CL_658,SEQ_1720,AB08 AB31 AB58 AB80 AB28 AB09,1,6,GO WC 1A,1
CL_659,SEQ_1721,AB08 AB59 AB28 A301 AB54 AB57,1,6,SY ZA 4,1
CL_660,SEQ_1722,AB08 AB60 AB65 AB10 AB45 AB17,1,6,HT 122B,1
CL_661,SEQ_1723,AB28 AB01 AB56 AB28 AB31 AB53,1,6,PH 6,1
CL_662,SEQ_1724,AB58 AB67 AB53 AB04 AB28 AB57,1,6,HT ZB 158B,1
CL_663,SEQ_1725,AB79 A301 AB09 AB45 AB21F AB118,1,6,ARKH 2,1
CL_664,SEQ_1726,AB80 AB58 AB73 [?] AB06 [?],1,6,KN 22C,1
CL_665,SEQ_1727,DI DI KO RA ME[ ]TA2,1,6,ZA 11,1
CL_666,SEQ_1728,I DA PA3 I SA RI,1,6,PH 6,1
CL_667,SEQ_1729,I JA PA ME TA TA,1,6,KH 7,1
CL_668,SEQ_173,AB04 AB67,2,2,"HT 122A,HT 13",2
CL_669,SEQ_1730,KA KU PA DI NA U,1,6,HT 16,1
CL_670,SEQ_1731,PA TA DA[ DU PU2 RE,1,6,PH 31,1
CL_671,SEQ_1732,[?] A306 AB37 AB77 AB08 AB27?,1,6,HT 4,1
CL_672,SEQ_1733,]A RA JU U DE ZA,1,6,HT 122,1
CL_673,SEQ_1734,AB08 AB07 AB01 AB67 AB37 AB03 AB81,1,7,KN ZC 6,1
CL_674,SEQ_1735,O KA MI ZA SI I NA,1,7,PK 1,1
CL_675,SEQ_1736,QIF TU NE MA KA RI TE,1,7,HT 87,1
CL_676,SEQ_1737,U KA RE A SE SI NA,1,7,PE 1,1
CL_677,SEQ_1738,A SI JA KA U MI NA SI,1,8,HT 28,1
CL_678,SEQ_1739,MA DI HT HT 85B HT 97A HT,1,8,PH 31,1
CL_001,SEQ_174,AB04 AB69,2,2,"HT 13,HT 7A",2
CL_679,SEQ_1740,PA TA DA DU PU2 RE HT ZB,1,8,PH 31,1
CL_680,SEQ_1741,A DA KI SI KA A RA U DA,1,9,KH 5,1
CL_681,SEQ_1742,AB57 AB31 AB60 AB08 AB06 AB24 AB40 AB39 [?],1,9,KN ZC 7,1
CL_682,SEQ_1743,CF QA QA RU HT IMMEDIATELY BEFORE MA DI,1,9,PH 31,1
CL_683,SEQ_1744,AB65 AB81 AB06 AB03 AB81 AB55 AB10 [?] AB28 AB79,1,10,KN ZC 6,1
CL_684,SEQ_1745,MA KA RI TE KI RO U MI NA SI,1,10,HT 117,1
CL_685,SEQ_1746,CF PA TA NE HT 122A IMMEDIATELY AFTER KU PA3 NE,1,11,PH 31,1
CL_686,SEQ_1747,CF TU JU MA HT A3 IMMEDIATELY AFTER KU PA3 NU,1,11,PH 31,1
CL_687,SEQ_1748,I TI TI KU NI A PA RA NE A TE,1,11,HT 96,1
CL_688,SEQ_1749,TA NA I TI ? JA TI JA SA SA RA ME,1,12,PS ZA 2,1
CL_020,SEQ_175,AB07 AB06,2,2,"HT 3,KH 59",2
CL_689,SEQ_1750,AB08 AB27 AB24 AB41 AB07 A301 AB39 AB44 AB03 AB57 AB59 AB53 AB09 AB04 AB53 AB23 AB08 AB57 AB81,1,19,KN ZF 13,1
CL_690,SEQ_1751,JA MI DA RE HT 122A THE SAME AS A MI DA U? ZA 10A CF PH 14B A MI,1,20,PH 31,1
CL_691,SEQ_1752,KU PA3 NU HT HT 49A HT HT 117A HT 122A CF KU PA3 HT KU PA3 NA TU HT 47A HT,1,22,PH 31,1
CL_692,SEQ_1753,CA 20TH UNIT FIGS TO EACH CF HT WHERE THE RATIO FIC VIR KA IS TIMES THIS AMOUNT IF JU QE ARE PEOPLE MIGHT THEY BE CHILDREN?,1,27,HT 89,1
CL_027,SEQ_176,AB08 AB60,2,2,"ARKH 1A,KH 79 89",2
CL_146,SEQ_177,AB10 AB49,2,2,"HT 126A,ZA 10B",2
CL_693,SEQ_178,AB100 AB28,2,2,"HT 11A,HT 93A",2
CL_694,SEQ_179,AB13 AB17,2,2,"HT 10A,HT 85B",2
CL_695,SEQ_180,AB188 AB51,2,2,"HT WA 1021,HT WC 3020A",2
CL_696,SEQ_181,AB23 AB26,2,2,"HT 3,HT 46A",2
CL_697,SEQ_182,AB28 AB01,2,2,"ZA 21B,ZA 24A",2
CL_032,SEQ_183,AB28 AB77,2,2,"HT 102,HT 91",2
CL_698,SEQ_184,AB39 AB31,2,2,"HT 123B,KH 6",2
CL_001,SEQ_185,AB41 AB69,2,2,"HT WA 1019,ZA 20",2
CL_699,SEQ_186,AB50 AB131A,2,2,"HT 123A,HT 14",2
CL_700,SEQ_187,AB50 AB76,2,2,"HT 116A,HT 28B",2
CL_052,SEQ_188,AB56 AB30,2,2,"HT 102,HT 85A",2
CL_701,SEQ_189,AB57 AB21F,2,2,"HT 28A,HT 28B",2
CL_001,SEQ_190,AB59 AB37,2,2,"HT 26A,HT 97A",2
CL_001,SEQ_191,AB59 [?],2,2,"KH 16,KH 64",2
CL_015,SEQ_192,AB67 AB60,2,2,"HT 103,ZA 8",2
CL_001,SEQ_193,AB69 [?],2,2,"KH 2,PH 31B",2
CL_702,SEQ_194,AB73 AB69,2,2,"HT 117A,HT 135A",2
CL_056,SEQ_195,AB77 AB06,2,2,"HT 123B,HT 23A",2
CL_703,SEQ_196,AB77 AB07,2,2,"ZA 15B,ZA 4A",2
CL_010,SEQ_197,AB77 AB26,2,2,"HT 75,HT 97A",2
CL_057,SEQ_198,AB78 AB50,2,2,"HT 9A,HT 9B",2
CL_704,SEQ_199,AB79 AB51,2,2,"HT 51B,HT 99B",2
CL_705,SEQ_200,B SE,2,2,"HT WC 3004,HT WC 3005",2
CL_706,SEQ_201,DA I,2,2,"HT 12,HT12",2
CL_707,SEQ_202,DI RA,2,2,"HT 122,HT 9",2
CL_708,SEQ_203,E KA,2,2,"HT 33,HT 34",2
CL_709,SEQ_204,GRA B,2,2,"HT 120,HT 86",2
CL_023,SEQ_205,GRA F,2,2,"HT 125,KH 1",2
CL_710,SEQ_206,GRA KU,2,2,"HT 128,HT 61",2
CL_711,SEQ_207,I KA,2,2,"HT 102,HT 91",2
CL_712,SEQ_208,I QA,2,2,"HT 131,HT 44",2
CL_713,SEQ_209,KA DI,2,2,"ZA 15,ZA 4",2
CL_111,SEQ_210,KA NA,2,2,"HT 123 124,HT 23",2
CL_028,SEQ_211,KI ME,2,2,"HT 127,HT 26",2
CL_013,SEQ_212,KU RA2,2,2,"HT10,HT12",2
CL_714,SEQ_213,ME ZA,2,2,"HT 10,HT 85",2
CL_715,SEQ_214,MI TU,2,2,"HT 117,HT 135",2
CL_117,SEQ_215,OLE MI[,2,2,"HT 58,TY 3",2
CL_716,SEQ_216,OLE RI,2,2,"HT 23,HT 35",2
CL_717,SEQ_217,OLIV TU,2,2,"HT 101,HT 50",2
CL_718,SEQ_218,PA DE,2,2,"HT 122,HT 9",2
CL_018,SEQ_219,PA RA,2,2,"HT 128,PH 3",2
CL_719,SEQ_220,PA [?],2,2,"ZA 10,ZA 12",2
CL_061,SEQ_221,PA3 NI,2,2,"HT 102,HT 85",2
CL_720,SEQ_222,PU RA2,2,2,"HT 116,HT 28",2
CL_721,SEQ_223,PU VINA,2,2,"HT 123 124,HT 14",2
CL_123,SEQ_224,SA RI,2,2,"ZA 11,ZA 21",2
CL_722,SEQ_225,SA VINA,2,2,"HT 114,ZA 15",2
CL_113,SEQ_226,TA I,2,2,"HT 39,HT 9",2
CL_002,SEQ_227,TA TI,2,2,"HT 26,HT 97",2
CL_723,SEQ_228,TE FIC,2,2,"HT 6,HT 96",2
CL_724,SEQ_229,TE KI,2,2,"HT 122,HT 13",2
CL_124,SEQ_230,TE RI,2,2,"HT 91,PH 31",2
CL_066,SEQ_231,TE TU,2,2,"HT 13,HT 7",2
CL_725,SEQ_232,TI A,2,2,"HT 100,HT 94",2
CL_726,SEQ_233,U SI,2,2,"HT 140,HT 15",2
CL_727,SEQ_234,U ZA,2,2,"HT 10,HT 85",2
CL_728,SEQ_235,VINA RA,2,2,"ZA 15,ZA 6",2
CL_729,SEQ_236,VIR *313A,2,2,"HT 100,HT 89",2
CL_730,SEQ_237,VIR *313B,2,2,"HT 94,KH 7",2
CL_731,SEQ_238,VIR I,2,2,"HT 11,HT 93",2
CL_732,SEQ_239,ZU DU,2,2,"HT 51,HT 99",2
CL_733,SEQ_240,[?] AB04,2,2,"KN 28B,KN 32B",2
CL_734,SEQ_241,[?] AB06,2,2,"HT 62 73,PH 1B",2
CL_021,SEQ_242,[?] AB27,2,2,"ARKH 4B,HT 51A",2
CL_735,SEQ_243,[?] AB41,2,2,"KH 74,ZA 16",2
CL_006,SEQ_244,[?] AB59,2,2,"KH 50,KH 8",2
CL_069,SEQ_245,[?] AB60,2,2,"KH 29,ZA 9",2
CL_736,SEQ_246,]OLE RI,2,2,"HT 60,KH 82",2
CL_036,SEQ_247,A DU ZA,2,3,"KH 11,PK 1",2
CL_008,SEQ_248,A KA RU,2,3,"HT 2,HT 86",2
CL_147,SEQ_249,AB03 AB28 AB05,2,3,"HT 120,HT 97A",2
CL_007,SEQ_250,AB03 AB59 AB01,2,3,"HT ZB 160,PH 31A",2
CL_007,SEQ_251,AB03 AB59 AB24,2,3,"HT 94B,HT WA 1019",2
CL_007,SEQ_252,AB03 AB60 AB24,2,3,"HT 115A,HT 115B",2
CL_148,SEQ_253,AB07 AB45 AB26,2,3,"HT 86A,HT 95B",2
CL_020,SEQ_254,AB07 AB53 AB06,2,3,"HT 102,HT 93A",2
CL_149,SEQ_255,AB07 AB67 AB09,2,3,"HT 117B,HT 87",2
CL_001,SEQ_256,AB08 AB03 [?],2,3,"ARKH 1A,KN 32A",2
CL_150,SEQ_257,AB10 A325 AB17,2,3,"HT 10A,HT 85A",2
CL_737,SEQ_258,AB10 AB34 AB41,2,3,"HT 140,HT 15",2
CL_738,SEQ_259,AB16 AB55 AB80,2,3,"HT 116A,KH 88",2
CL_012,SEQ_260,AB26 AB80 AB59,2,3,"HT 29,HT 99B",2
CL_075,SEQ_261,AB28 AB16 AB118,2,3,"HT 131A,HT 44A",2
CL_001,SEQ_262,AB41 AB01 AB27,2,3,"HT 122A,HT 17",2
CL_091,SEQ_263,AB41 AB39 AB67,2,3,"ZA 4A,ZA 5B",2
CL_099,SEQ_264,AB54 AB07 AB30,2,3,"HT WC 3007,HT WC 3008A",2
CL_052,SEQ_265,AB56 AB30 AB06,2,3,"HT 6B,HT 93A",2
CL_739,SEQ_266,AB60 AB164A AB37,2,3,"HT 17,HT 19",2
CL_006,SEQ_267,AB67 AB01 AB02,2,3,"HT 117A,HT 47A",2
CL_016,SEQ_268,AB67 AB53 AB66,2,3,"HT 114A,HT 121",2
CL_103,SEQ_269,AB78 AB76 AB10,2,3,"HT 1,HT 95B",2
CL_121,SEQ_270,AB79 AB07 AB60,2,3,"HT WC 3011,HT WC 3012A",2
CL_004,SEQ_271,AB81 AB27 AB65,2,3,"HT 117B,HT 39",2
CL_003,SEQ_272,AB81 AB79 AB30,2,3,"HT 13,HT 85A",2
CL_151,SEQ_273,B PA D,2,3,"HT WC 3016,HT WE WC 3020",2
CL_019,SEQ_274,DA NA TU,2,3,"ARKH 6,HT7",2
CL_002,SEQ_275,DA QE RA,2,3,"HT 120,HT 6",2
CL_740,SEQ_276,DI DE RU,2,3,"HT 86,HT 95",2
CL_741,SEQ_277,DI KI SE,2,3,"HT 117,HT 87",2
CL_022,SEQ_278,DI NA U,2,3,"HT 25,HT 9",2
CL_022,SEQ_279,DI RI NA,2,3,"HT 102,HT 93",2
CL_152,SEQ_280,GRA K L2,2,3,"HT 120,HT 86",2
CL_002,SEQ_281,KI DA RO,2,3,"HT 117,HT 47",2
CL_009,SEQ_282,KI RE TA2,2,3,"HT 129,HT 85",2
CL_009,SEQ_283,KI RI TA2,2,3,"HT 114,HT 121",2
CL_742,SEQ_284,KU ZU NI,2,3,"HT 13,HT 85",2
CL_011,SEQ_285,MI JA I,2,3,"HT 37,KH 81",2
CL_011,SEQ_286,MI JA KA,2,3,"HT 33,HT 34",2
CL_116,SEQ_287,PA I TO,2,3,"HT 120,HT 97",2
CL_061,SEQ_288,PA3 NI NA,2,3,"HT 6,HT 93",2
CL_064,SEQ_289,QE TU NE,2,3,"HT 12,HT12",2
CL_064,SEQ_290,QIF TU NE,2,3,"HT 117,HT 7",2
CL_743,SEQ_291,RA *164A TI,2,3,"HT 17,HT 19",2
CL_144,SEQ_292,RU MA TA,2,3,"HT 29,HT 99",2
CL_002,SEQ_293,SI DA RE,2,3,"HT 122,HT 17",2
CL_153,SEQ_294,TU JU MA,2,3,"HT 117,PH 31",2
CL_744,SEQ_295,A RI NI TA,2,4,"HT 25,ZA 8",2
CL_745,SEQ_296,AB01 AB28 AB39 AB59,2,4,"ZA 10A,ZA 8",2
CL_007,SEQ_297,AB08 AB03 AB60 AB24,2,4,"HT 96A,HT 96B",2
CL_746,SEQ_298,AB08 AB41 AB57 AB77,2,4,"HT 28A,HT 28B",2
CL_747,SEQ_299,AB08 AB53 AB30 AB59,2,4,"HT 25A,ZA 8",2
CL_748,SEQ_300,AB10 AB73 AB06 AB41,2,4,"HT 117A,HT 28B",2
CL_749,SEQ_301,AB11 AB05 AB81 AB02,2,4,"HT 122B,HT 131B",2
CL_750,SEQ_302,AB54 AB51 AB30 AB73,2,4,"HT 6B,HT 85B",2
CL_751,SEQ_303,AB78 AB41 AB79 AB38,2,4,"ZA 15A,ZA 4A",2
CL_752,SEQ_304,AB78 AB45 AB73 AB55,2,4,"MA 1A,MA 1B",2
CL_753,SEQ_305,AB80 AB77 AB53 AB04,2,4,"HT 117A,HT 87",2
CL_754,SEQ_306,AB81 AB56 AB06 AB69,2,4,"HT 119,HT 47A",2
CL_755,SEQ_307,DA I PI TA,2,4,"ZA 10,ZA 8",2
CL_756,SEQ_308,KU PA3 NA TU,2,4,"HT 119,HT 47",2
CL_143,SEQ_309,MA KA I TA,2,4,"PK 1,ZA 5",2
CL_757,SEQ_310,PO TO KU RO,2,4,"HT 122,HT 131",2
CL_030,SEQ_311,QA [?] RE PU,2,4,"HT 33,HT 45",2
CL_758,SEQ_312,QE SI ZU E,2,4,"ZA 15,ZA 4",2
CL_759,SEQ_313,WA DU NI MI,2,4,"HT 6,HT 85",2
CL_760,SEQ_314,*164B,1,1,KH WC 2040,1
CL_761,SEQ_315,*164C,1,1,KH WC 2041,1
CL_762,SEQ_316,*309B[,1,1,TY 2,1
CL_763,SEQ_317,*403VAS,1,1,HT 38,1
CL_764,SEQ_318,*405VAS,1,1,MA 10,1
CL_765,SEQ_319,*406VAS,1,1,HT 93,1
CL_766,SEQ_320,*410VAS,1,1,HT 31,1
CL_767,SEQ_321,*411VASA,1,1,KH WC 2019,1
CL_768,SEQ_322,A301,1,1,HT WA 1029,1
CL_769,SEQ_323,A303,1,1,KH 14,1
CL_770,SEQ_324,A306,1,1,KH 47,1
CL_771,SEQ_325,A307,1,1,HT 5,1
CL_772,SEQ_326,A308,1,1,HT 123A,1
CL_773,SEQ_327,A309B,1,1,TY 2,1
