canonical_line_id,artifact_id,quantity,sequence_surface,canonical_sequence,sign_count,group_count,origin_count,source_kinds,provenance_tags,notes
CLINE_1225,HT 81,,MI JA RU,MI JA RU,3,3,1,external_csv,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_logogram | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
CLINE_1226,HT 81,,]RI SU MA,]RI SU MA,3,3,1,external_csv,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_statement | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
CLINE_1227,HT 82,,GRA OVIS F,GRA OVIS F,3,3,1,external_csv,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_logogram | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
CLINE_1228,HT 84,,AB21F AB57 AB51,AB21F AB57 AB51,3,3,1,external_csv,http://sigla.phis.me/document/HT%2084/index-word.html,sigla_word_seq_pattern | source=SigLA | ingested=2026-02-24T02:56:37Z
CLINE_1229,HT 84,,AB55 AB37,AB55 AB37,2,2,1,external_csv,http://sigla.phis.me/document/HT%2084/index-word.html,sigla_word_seq_pattern | source=SigLA | ingested=2026-02-24T02:56:37Z
CLINE_1230,HT 84,,QIF JA DU,QIF JA DU,3,3,1,external_csv,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_statement | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
CLINE_1231,HT 84,,VIR[,VIR[,1,1,1,external_csv,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_logogram | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
CLINE_1232,HT 84,,]NU TI,]NU TI,2,2,1,external_csv,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_statement | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
CLINE_1233,HT 85,,A DU,A DU,2,2,1,external_csv,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_statement | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
CLINE_1234,HT 85,,DA RE,DA RE,2,2,1,external_csv,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_statement | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
CLINE_1235,HT 85,,DA RI DA,DA RI DA,3,3,1,external_csv,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_statement | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
CLINE_1236,HT 85,,DA SI,DA SI,2,2,1,external_csv,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_statement | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
CLINE_1237,HT 85,,KI KI RA JA,KI KI RA JA,4,4,1,external_csv,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_statement | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
CLINE_1238,HT 85,,KI RE TA2,KI RE TA2,3,3,1,external_csv,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,younger_table_statement | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
