prefix,length,count,artifact_count,artifacts
VINA,1,27,22,"HT 100,HT 114,HT 121,HT 13,HT 130,HT 131,HT 23,HT 27,HT 28,HT 30,HT 35,HT 60,HT 89,HT 91,HT 99,KH 11,PH 25,PH 31,ZA 11,ZA 15,ZA 5,ZA 6"
AB51,1,26,25,"HT 108,HT 115B,HT 122A,HT 123B,HT 127A,HT 15,HT 19,HT 25A,HT 36,HT 47A,HT 6B,HT 7A,HT ZB 160,HT13,HT31,KH 20,KN ZC 7,MA 10B,MA 2A,MI 2,PH 31B,ZA 10A,ZA 10B,ZA 20,ZA 22"
TE,1,25,22,"HT 104,HT 117,HT 122,HT 13,HT 133,HT 14,HT 17,HT 19,HT 21,HT 26,HT 40,HT 44,HT 6,HT 62 73,HT 7,HT 85,HT 9,HT 91,HT 96,KH 6,PH 31,THE TABLET 5"
MI,1,24,21,"HT 106,HT 117,HT 135,HT 23,HT 26,HT 32,HT 33,HT 34,HT 35,HT 37,HT 41,HT 47,HT 61,HT 81,HT 86,HT 95,KH 12,KH 60,KH 81,PH 3,ZA 15"
VIR,1,24,22,"HT 100,HT 105,HT 108,HT 11,HT 119,HT 127,HT 25,HT 27,HT 28,HT 7,HT 88,HT 89,HT 93,HT 94,HT WC 3022,KH 7,KH WC 2029 2030,KH WC 2031,KH WC 2032,KH WC 2100,PE 1,TY 2"
KU RO,2,23,23,"HT 100,HT 102,HT 104,HT 109,HT 11,HT 110,HT 116,HT 117,HT 118,HT 119,HT 122,HT 123 124,HT 127,HT 13,HT 25,HT 27,HT 40,HT 88,HT 89,HT 9,HT 94,PH 31,ZA 15"
AB73,1,22,18,"ARKH 1A,HT 113 TER,HT 117A,HT 128A,HT 135A,HT 26A,HT 27B,HT 41A,HT 47A,HT 54A,HT 61,HT 86A,HT 95A,HT 95B,KH 79 89,ZA 15A,ZA 20,ZA 23"
AB78,1,22,22,"HT 1,HT 12,HT 146,HT 20,HT 27A,HT 3,HT 41A,HT 55B,HT 58,HT 6A,HT 7A,HT 85B,HT 87,HT 95B,HT 9A,HT 9B,HT WC 3014B,KH 50,MA 1A,MA 1B,ZA 15A,ZA 4A"
AB04,1,21,20,"HT 117A,HT 122A,HT 13,HT 55B,HT 7A,HT 85A,HT 85B,HT 8A,HT 91,HT 98A,HT13,KH 6,PH 13C,PH 27,PH 31B,ZA 20,ZA 21A,ZA 23,ZA 29,ZA10"
AB16,1,21,21,"HT 116A,HT 118,HT 12,HT 122A,HT 122B,HT 132,HT 31,HT 70,HT 85B,HT 86A,HT 8A,HT 8B,HT 93A,HT 96B,HT WC 3017A,KH 10,KH 47,KH 7A,KH 88,KN WB 33A,ZA 14"
AB26,1,19,18,"ARKH 2,HT 115B,HT 11B,HT 128B,HT 141,HT 24A,HT 25A,HT 29,HT 3,HT 64,HT 96A,HT 99B,HT WC 3008B,KN 2,KN WC 26A,MA 10A,PH 31A,ZA 20"
AB69,1,19,18,"HT 112A,HT 117A,HT 123B,HT 128A,HT 129,HT 154A,HT 25A,HT 49A,HT 55A,HT 79 83,HT 94B,HT 98A,KH 2,KH 51,KH 57,PH 31B,ZA 14,ZA 4A"
SA RA2,2,18,18,"HT 100,HT 101,HT 102,HT 105,HT 114,HT 121,HT 130,HT 18,HT 28,HT 30,HT 32,HT 33,HT 34,HT 90,HT 93,HT 94,HT 97,HT 99"
AB39,1,18,18,"ARKH 3B,ARKH 4A,HT 116A,HT 123B,HT 126A,HT 21,HT 47A,HT 6A,HT 87,HT 96A,KH 6,KH 86,PH 19,PH 2,TY 3B,ZA 11A,ZA 21A,ZA 4A"
B,1,18,17,"GO WC 1,HT WC 3001,HT WC 3004,HT WC 3005,HT WC 3006,HT WC 3008,HT WC 3012,HT WC 3014,HT WC 3016,HT WC 3018,HT WC 3024,HT WE WC 3020,KE WC 2,KN WC 26,KN WC 48,MA WC 5,PH 31"
DI,1,18,17,"HT 1,HT 101,HT 102,HT 108,HT 117,HT 122,HT 25,HT 52,HT 86,HT 87,HT 9,HT 93,HT 95,HT 98,KH 59,KH 6,ZA 11"
JA,1,18,16,"ARKH 3,HT 122,HT 24,HT 28,HT 6,HT 87,KN 1,KN 32,MA 2,PH 16,PH 28,PH 31,ZA 14,ZA 15,ZA 26,ZA 4"
AB31 AB76,2,17,17,"HT 100,HT 101,HT 102,HT 114A,HT 121,HT 130,HT 18,HT 28B,HT 30,HT 32,HT 33,HT 34,HT 90,HT 93A,HT 94A,HT 97B,HT 99A"
AB60,1,17,17,"HT 113,HT 122A,HT 147,HT 17,HT 19,HT 47B,HT 53A,HT 6B,HT 94B,HT WC 3006B,KH 14,KH 47,KH 60,PH 2,ZA 11A,ZA 19,ZA 22"
QE,1,17,17,"HT 1,HT 12,HT 20,HT 3,HT 58,HT 6,HT 7,HT 85,HT 87,HT 9,HT 95,HT12,HT7,MA 1,ZA 11,ZA 15,ZA 4"
TA,1,17,15,"HT 10,HT 104,HT 26,HT 39,HT 49,HT 7,HT 89,HT 9,HT 97,HT 98,MA 4,PS ZA 2,ZA 10,ZA 21,ZA 8"
DU,1,16,16,"HT 108,HT 115,HT 123 124,HT 15,HT 19,HT 25,HT 36,HT 4,HT 6,HT 7,KH 20,MA 10,MI 2,PH 31,ZA 10,ZA 22"
U,1,16,13,"HT 10,HT 103,HT 116,HT 117,HT 140,HT 15,HT 25,HT 26,HT 85,KH 7,MA 2,PE 1,ZA 7"
QA [?],2,15,9,"HT 12,HT 23,HT 30,HT 32,HT 33,HT 34,HT 35,HT 45,HT 60"
AB08 AB51,2,14,14,"ARKH 5,HT 133,HT 85A,HT 86A,HT 88,HT 92,HT 95B,HT 99A,KH 11,KH 23,KH 4,TY 3A,ZA 10A,ZA WC 2"
AB27,1,14,14,"HT 109,HT 13,HT 37,HT 42 59,HT 66,HT 85B,HT 88,HT WC 3012B,KH 6,KH 8,KH 86,KH 97A,PS ZA 2,ZA10"
TU,1,14,14,"HT 115,HT 117,HT 123 124,HT 128,HT 129,HT 154A,HT 25,HT 49,HT 94,HT7,PH 31,PK 1,ZA 14,ZA 4"
]OLE,1,14,12,"HT 125,HT 129,HT 140,HT 2,HT 44,HT 50,HT 56,HT 58,HT 60,KH 82,KN ZB 35,TY 3"
*411VASB,1,13,13,"KH WC 2008,KH WC 2009,KH WC 2011,KH WC 2012,KH WC 2013,KH WC 2014,KH WC 2015,KH WC 2016,KH WC 2017,KH WC 2018,KH WC 2022,KH WC 2023,KH WC 2024"
PI,1,13,13,"ARKH 4,HT 116,HT 123 124,HT 21,HT 6,HT 87,HT 96,KH 6,KH 86,PH 19,PH 2,TY 3,ZA 11"
A DU,2,12,12,"ARKH 5,HT 133,HT 85,HT 86,HT 88,HT 92,HT 95,HT 99,KH 11,KH 4,PK 1,ZA 10"
AB67 AB02,2,12,12,"HT 1,HT 117A,HT 123A,HT 123B,HT 15,HT 30,HT 34,HT 37,HT 55A,HT 88,HT 93B,HT 94B"
KU PA3,2,12,10,"HT 1,HT 101,HT 117,HT 119,HT 122,HT 24,HT 47,HT 49,HT 88,PH 31"
MI JA,2,12,11,"HT 23,HT 32,HT 33,HT 34,HT 35,HT 37,HT 81,KH 12,KH 60,KH 81,PH 3"
OLE U,2,12,12,"HT 100,HT 101,HT 125,HT 140,HT 2,HT 21,HT 28,HT 44,HT 58,HT 91,HT 96,TY 3"
AB02,1,12,12,"HT 110B,HT 130,HT 45B,HT 98A,KH 100,KH WA 1013,KH WA 1014,KH WA 1015,KH WA 1016,PH 24,ZA 1B,ZA 9"
AB06,1,12,12,"ARKH 1B,HT 115A,HT 117A,HT 135A,HT 154C,HT 64,HT 97A,HT ZD 155,KH 36,KH 92,KH 97A,KN ZB 20"
AB54,1,12,11,"HT 128A,HT 6B,HT 85B,HT 9B,HT WC 3006A,HT WC 3007,HT WC 3008A,HT13,HT31,HT95,ZA 10B"
AB79,1,12,12,"ARKH 2,HT 1,HT 101,HT 25A,HT 51B,HT 63,HT 79 83,HT 99B,HT WC 3004A,HT WC 3011,HT WC 3012A,KH 91"
OLIV,1,12,11,"ARKH 3,HT 101,HT 123 124,HT 21,HT 44,HT 50,HT 58,HT 91,HT12,HT8,ZA 18"
]KU,1,12,11,"HT 3,HT 39,HT 46,HT 51,HT 54,HT 64,HT 67,HT 74,HT 79 83,HT 96,KH 99"
AB81 AB56,2,11,10,"HT 1,HT 117A,HT 119,HT 122A,HT 24A,HT 3,HT 47A,HT 49A,HT 88,PH 31A"
OLE KI,2,11,9,"HT 101,HT 140,HT 18,HT 28,HT 50,HT 8,HT 91,TY 3,ZA 18"
[?] [?],2,11,11,"HT 136A,HT 154E,HT 27B,HT 49A,HT 54A,HT 72,KH 68,KH 70,KH 73,PH 3A,PH WC 45"
AB58,1,11,10,"HT 31,HT 32,HT 42 59,HT 49A,HT 63,HT 8B,HT ZB 158B,KH 63,KN 22A,PH WA 32"
PA3,1,11,10,"HT 102,HT 103,HT 33,HT 34,HT 6,HT 8,HT 85,HT 9,HT 93,HT8"
TI,1,11,11,"HT 100,HT 115,HT 123 124,HT 27,HT 31,HT 35,HT 49,HT 51,HT 94,HT7,PS ZA 2"
AB37,1,10,10,"HT 115B,HT 123B,HT 154,HT 27A,HT 35,HT 49A,HT 51A,MA 1C,MA 2B,PYR 1"
AB53,1,10,9,"HT 115A,HT 118,HT 119,HT 146,HT 49A,HT 55B,HT 81,KH 6,PH 31B"
AB56,1,10,10,"ARKH 1B,HT 101,HT 102,HT 103,HT 6B,HT 85A,HT 8A,HT 8B,HT 93A,SY ZA 4"
RU,1,10,9,"ARKH 2,HT 11,HT 24,HT 29,HT 64,HT 96,HT 99,PE 2,ZA 20"
GRA PA,2,9,9,"HT 102,HT 120,HT 125,HT 128,PE 1,ZA 11,ZA 18,ZA 28,ZA 6"
AB21F,1,9,9,"HT 117B,HT 23A,HT 7B,HT 84,HT 87,HT 94B,KH 88,ZA 14,ZA 5A"
AB40,1,9,8,"HT 113,HT 25B,HT 28B,HT ZD 157,KH 37,KH 5,KN ZB 35,ZA 9"
AB50,1,9,9,"HT 116A,HT 123A,HT 14,HT 23B,HT 28B,HT 31,KH 88,MI 2,ZA 14"
RA,1,9,9,"HT 113,HT 17,HT 19,HT 6,HT 94,KH 29,PH 2,PK 1,ZA 11"
]FIC,1,9,9,"HT 110,HT 111,HT 131,HT 154E,HT 44,HT 96,KH 17,KH 30,KH 8"
