suffix,length,count,artifact_count,artifacts
AB08,1,16,16,"ARKH 1B,ARKH 5,HT 15,HT 45B,HT 57A,HT 97A,KH 17,KH 33,KH 45,KH 58,KH 73,KH 9,KN ZB 40,PH 27,ZA 11A,ZA 21A"
AB55,1,16,15,"ARKH 3A,HT 1,HT 117A,HT 11B,HT 122A,HT 25A,HT 3,HT 49A,HT 62 73,HT 88,KH 86,KN ZC 6,MA 1A,MA 1B,PH 31A"
DU,1,16,15,"HT 123 124,HT 133,HT 14,HT 40,HT 5,HT 51,HT 58,HT 84,HT 85,HT 86,HT 88,HT 92,HT 95,HT 99,KH 5"
MA,1,16,15,"HT 10,HT 115,HT 116,HT 117,HT 118,HT 31,HT 52,HT 6,HT 81,HT 94,MA 1,PH 3,PH 31,ZA 10,ZA 5"
ZA,1,16,13,"HT 10,HT 122,HT 13,HT 85,HT 88,KH 11,KH 20,KH 86,PE 2,PK 1,ZA 1,ZA 10,ZA 6"
GRA PA,2,14,11,"HT 102,HT 120,HT 125,HT 128,HT 43,HT 93,PE 1,ZA 11,ZA 18,ZA 28,ZA 6"
AB10,1,14,14,"ARKH 4B,HT 1,HT 126A,HT 16,HT 25A,HT 47A,HT 56A,HT 58,HT 95A,HT 95B,HT 9A,HT 9B,KH 52,ZA 10A"
AB118,1,14,14,"ARKH 1A,ARKH 2,HT 122A,HT 13,HT 131A,HT 44A,HT 85A,HT 99B,KH 10,KH 88,KH 99,PA 1,ZA 14,ZA 5A"
DA,1,14,12,"HT 10,HT 122,HT 123 124,HT 133,HT 27,HT 85,HT 93,KH 5,PE 2,PH 31,TY 3,ZA 24"
JU,1,14,10,"HT 109,HT 117,HT 20,HT 39,HT 88,PH 2,TY 2,ZA 14,ZA 22,ZA 7"
PU,1,14,14,"HT 12,HT 23,HT 30,HT 31,HT 32,HT 33,HT 34,HT 35,HT 45,HT 60,HT 87,HT 9,KN 32,TY 2"
AB67 AB02,2,13,13,"ARKH 4B,HT 1,HT 117A,HT 123A,HT 123B,HT 15,HT 30,HT 34,HT 37,HT 55A,HT 88,HT 93B,HT 94B"
[?] [?],2,13,13,"HT 115B,HT 136A,HT 154E,HT 27B,HT 49A,HT 54A,HT 72,KH 68,KH 70,PH 3A,PH WC 45,TY 3A,ZA 20"
*411VASB,1,13,13,"KH WC 2008,KH WC 2009,KH WC 2011,KH WC 2012,KH WC 2013,KH WC 2014,KH WC 2015,KH WC 2016,KH WC 2017,KH WC 2018,KH WC 2022,KH WC 2023,KH WC 2024"
AB58,1,13,13,"HT 1,HT 10A,HT 117A,HT 118,HT 20,HT 86A,HT 86B,HT 95B,HT ZD 157,KH 24,KH 63,KH 74,KN 32B"
E,1,13,12,"HT 2,HT 21,HT 50,HT 58,HT 89,HT WC 3019,KH 7,MA 10,MA WC 5,PH 24,ZA 15,ZA 4"
NI,1,13,10,"HT 102,HT 108,HT 13,HT 140,HT 25,HT 26,HT 49,HT 85,HT 93,KH 79 89"
NU,1,13,11,"ARKH 3,HT 1,HT 11,HT 117,HT 122,HT 3,HT 49,HT 88,KH 86,MA 1,PH 31"
SU,1,13,11,"HT 1,HT 10,HT 117,HT 118,HT 20,HT 86,HT 95,KN 32,MA 10,PK 1,ZA 5"
