suffix,length,count,artifact_count,artifacts
AB81 AB30,2,2,2,"HT 79 83,HT 96A"
AB81 AB37,2,2,2,"HT 117A,KN 1A"
AB81 AB39,2,2,2,"KH 18,ZA 14"
AB81 AB59,2,2,2,"HT 115B,HT 35"
AU RE,2,2,1,PH 31
B SE,2,2,2,"HT WC 3004,HT WC 3005"
DA RU,2,2,2,"HT 7,TY 2"
DA TA,2,2,2,"HT 123 124,HT 40"
DA TE,2,2,2,"ARKH 2,HT 12"
DA U,2,2,2,"HT 120,ZA 10"
DE RU,2,2,2,"HT 86,HT 95"
DE ZA,2,2,1,HT 122
DI RA,2,2,2,"HT 122,HT 9"
DU ZA,2,2,2,"KH 11,PK 1"
E KA,2,2,2,"HT 33,HT 34"
GRA B,2,2,2,"HT 120,HT 86"
GRA KU,2,2,2,"HT 128,HT 61"
I KA,2,2,2,"HT 102,HT 91"
I NA,2,2,2,"HT 123 124,PK 1"
I QA,2,2,2,"HT 131,HT 44"
I SI,2,2,2,"KH 16,KH 51"
I TA,2,2,2,"PK 1,ZA 5"
I TI,2,2,2,"HT 117,HT 25"
I TO,2,2,2,"HT 120,HT 97"
JA PI,2,2,2,"ARKH 3,HT 9"
JU MA,2,2,2,"HT 117,PH 31"
K L2,2,2,2,"HT 120,HT 86"
KA DI,2,2,2,"ZA 15,ZA 4"
KA KI,2,2,2,"HT 37,HT 52"
KA NA,2,2,2,"HT 123 124,HT 23"
KI SE,2,2,2,"HT 117,HT 87"
KU NA,2,2,2,"HT 103,ZA 15"
KU RA2,2,2,2,"HT10,HT12"
KU RE,2,2,2,"HT 20,HT 39"
KU TI,2,2,2,"HT 117,KN 1"
KU TU,2,2,2,"HT 115,TY 3"
MA RO,2,2,2,"HT 88,HT 96"
MA SI,2,2,2,"HT 5,ZA 11"
MA TI,2,2,2,"HT 39,PH 31"
ME ZA,2,2,2,"HT 10,HT 85"
MI NU,2,2,2,"HT 117,MA 1"
MI TA,2,2,2,"HT 96,ZA 10"
MI TU,2,2,2,"HT 117,HT 135"
NA DU,2,2,2,"HT 14,KH 5"
NA TE,2,2,1,ZA 10
NE TE,2,2,2,"HT 98,ZA 10"
NE TI,2,2,2,"HT 104,PK 1"
NI NA,2,2,2,"HT 6,HT 93"
NOT PRESERVED,2,2,2,"KN WC 42,KN WC 43"
NU TI,2,2,2,"HT 97,ZA 9"
NU WI,2,2,1,HT 115
OLE RI,2,2,2,"HT 23,HT 35"
OLIV TU,2,2,2,"HT 101,HT 50"
PA D,2,2,2,"HT WC 3016,HT WE WC 3020"
PA DE,2,2,2,"HT 122,HT 9"
PA RA,2,2,2,"HT 128,PH 3"
PA RI,2,2,2,"HT 79 83,PE 1"
PA [?],2,2,2,"ZA 10,ZA 12"
PA3 NI,2,2,2,"HT 102,HT 85"
PU RA2,2,2,2,"HT 116,HT 28"
PU VINA,2,2,2,"HT 123 124,HT 14"
QE RA,2,2,2,"HT 120,HT 6"
RA JA,2,2,2,"HT 115,HT 85"
RA RE,2,2,2,"HT 117,HT 96"
RA TI,2,2,2,"HT 8,KN 1"
RE PU,2,2,2,"HT 33,HT 45"
RE SE,2,2,1,HT 93
RI I,2,2,2,"HT 6,HT 98"
RI JA,2,2,1,HT 24
RI JU,2,2,1,TY 2
RI TE,2,2,2,"HT 4,HT 87"
RU MA,2,2,2,"HT 115,HT 118"
RU SI,2,2,1,HT7
SA NE,2,2,2,"KH 5,KH 6"
SA VINA,2,2,2,"HT 114,ZA 15"
SE JA,2,2,2,"HT 115,HT 93"
SI NI,2,2,1,HT 140
SU MI,2,2,2,"ARKH 1,KN 28"
SU PU,2,2,2,"HT 31,HT 87"
SU PU2,2,2,2,"HT 49,HT 8"
TA JA,2,2,2,"HT 28,HT 6"
TA TI,2,2,2,"HT 26,HT 97"
TE FIC,2,2,2,"HT 6,HT 96"
TE KI,2,2,2,"HT 122,HT 13"
TE RI,2,2,2,"HT 91,PH 31"
TI A,2,2,2,"HT 100,HT 94"
TO EACH,2,2,1,HT 89
TO I,2,2,2,"ARKH 2,KH 11"
TU SU,2,2,1,PK 1
U SI,2,2,2,"HT 140,HT 15"
U TI,2,2,2,"HT 10,MA 2"
U ZA,2,2,2,"HT 10,HT 85"
VINA RA,2,2,2,"ZA 15,ZA 6"
VIR *313A,2,2,2,"HT 100,HT 89"
VIR *313B,2,2,2,"HT 94,KH 7"
VIR I,2,2,2,"HT 11,HT 93"
ZU DU,2,2,2,"HT 51,HT 99"
ZU E,2,2,2,"ZA 15,ZA 4"
[?] AB04,2,2,2,"KN 28B,KN 32B"
[?] AB06,2,2,2,"HT 62 73,PH 1B"
[?] AB17,2,2,2,"KH 11,KH 22"
[?] AB27,2,2,2,"ARKH 4B,HT 51A"
[?] AB41,2,2,2,"KH 74,ZA 16"
[?] AB59,2,2,2,"KH 50,KH 8"
[?] AB60,2,2,2,"KH 29,ZA 9"
[?] AB65,2,2,2,"ARKH 4A,KN ZB 4"
]OLE RI,2,2,2,"HT 60,KH 82"
*313A,1,2,2,"HT 100,HT 89"
*313B,1,2,2,"HT 94,KH 7"
*408VAS,1,2,2,"KH WC 2103,KH WC 2122"
*417VAS,1,2,2,"KH WC 2006,KH WC 2007"
A308,1,2,2,"HT 123A,HT 26B"
A314,1,2,2,"ARKH 3B,PH 26"
A319,1,2,2,"HT ZD 155,HT ZD 157"
A329,1,2,2,"HT 128B,HT 7B"
A331,1,2,2,"HT 40,KH 32"
A411B,1,2,2,"KH WC 2008,KH WC 2009"
AB27?,1,2,2,"HT 39,HT 4"
AB28?,1,2,2,"HT 79 83,KH 97B"
AB57?,1,2,2,"HT 44B,ZA 32"
DA[,1,2,2,"PH 31,ZA 21"
DE[,1,2,2,"HT 113,ZA 11"
DU[,1,2,2,"HT 42 59,KH 23"
EACH,1,2,1,HT 89
E[,1,2,2,"KH 8,ZA 5"
J,1,2,2,"HT WC 3001,PH 31"
KO,1,2,2,"HT 24,HT 31"
NI[,1,2,2,"HT 51,HT 79 83"
OVISF[,1,2,2,"HT 112,HT 126"
OVISM,1,2,2,"PH 31,ZA 22"
PA3[,1,2,2,"HT 79 83,PH 28"
PA[,1,2,2,"HT 105,ZA 11"
PRESERVED,1,2,2,"KN WC 42,KN WC 43"
RO[,1,2,2,"HT 85,HT 93"
RU[,1,2,2,"HT 24,HT 75"
SA[,1,2,2,"KH 6,PH 16"
SU[,1,2,2,"HT 37,KH 74"
TA[,1,2,2,"HT 115,KN 32"
TELA,1,2,2,"KH WC 2124,ZA ZB 34"
VIN,1,2,2,"HT 17,PH 31"
WI[,1,2,2,"HT 25,ZA 14"
]FIC[,1,2,2,"KH 27,KH 65"
]GRA[,1,2,2,"HT 154A,HT 50"
]OVISF,1,2,2,"HT 136,ZA 26"
]VINA,1,2,2,"ARKH 3,HT 98"
