trigram,count,relative_frequency
AB26 AB78 AB76,1,0.000547
AB81 AB30 [?],1,0.000547
I TI TI,1,0.000547
TI KU NI,1,0.000547
KU NI A,1,0.000547
NI A PA,1,0.000547
RA NE A,1,0.000547
NE A TE,1,0.000547
I [?] GRA,1,0.000547
PI TA RA,1,0.000547
QA RA RE,1,0.000547
SI MI TA,1,0.000547
]KU MA RO,1,0.000547
AB08 AB123 AB04,1,0.000547
AB28 AB37 AB37,1,0.000547
AB37 AB81 AB30,1,0.000547
AB39 AB59 AB60,1,0.000547
AB41 AB73 AB59,1,0.000547
AB81 AB80 AB02,1,0.000547
AB16 AB118 AB60,1,0.000547
AB118 AB60 AB27,1,0.000547
KA NU TI,1,0.000547
AB06 AB37 AB80,1,0.000547
AB37 AB80 AB07,1,0.000547
AB77 AB55 AB37,1,0.000547
DA RU NE,1,0.000547
RU NE TE,1,0.000547
DI RE DI,1,0.000547
RE DI NA,1,0.000547
KA RI I,1,0.000547
AB07 AB27 AB07,1,0.000547
AB27 AB07 AB06,1,0.000547
AB77 AB53 A310,1,0.000547
AB53 A310 AB28,1,0.000547
AB01 AB26 AB24,1,0.000547
AB26 AB24 AB04,1,0.000547
SI SE FIC,1,0.000547
AB08 AB26 AB81,1,0.000547
AB26 AB81 AB02,1,0.000547
AB54 AB57 AB39,1,0.000547
AB57 AB39 [?],1,0.000547
AB46 AB59 AB06,1,0.000547
AB77 AB27 AB02,1,0.000547
AB79 AB30 AB77,1,0.000547
AB59 AB30 AB77,1,0.000547
